Pclass,Sex,AgeMissing,SibSp,Parch,Embarked,FamSz,y_true,y_pred,Survival_Probability
3,0,1.0,1,0,1,1,0,0,0.24421208621559903
1,1,1.0,1,0,2,1,1,1,0.8283241634078916
3,1,1.0,0,0,1,0,1,1,0.507702847401052
1,1,1.0,1,0,1,1,1,1,0.7842595547306221
3,0,1.0,0,0,1,0,0,0,0.17538855068180098
3,0,0.0,0,0,3,0,0,0,0.21982680087461734
1,0,1.0,0,0,1,0,0,0,0.2895722352629319
3,0,1.0,3,1,1,4,0,0,0.1848729549194127
3,1,1.0,0,2,1,2,1,1,0.58698909756894
2,1,1.0,1,0,2,1,1,1,0.7639050028133105
3,1,1.0,1,1,1,2,1,1,0.5041523244370503
1,1,1.0,0,0,1,0,1,1,0.738100051343285
3,0,1.0,0,0,1,0,0,0,0.19223078682631653
3,0,1.0,1,5,1,6,0,0,0.26538110670271386
3,1,1.0,0,0,1,0,0,1,0.5400659659008911
2,1,1.0,0,0,1,0,1,1,0.6869604775792708
3,0,1.0,4,1,3,5,0,0,0.15689052848680565
2,0,0.0,0,0,1,0,1,0,0.1872839321384809
3,1,1.0,1,0,1,1,0,1,0.5998160695649764
3,1,0.0,0,0,2,0,1,1,0.5372728336382393
2,0,1.0,0,0,1,0,0,0,0.2060820686486727
2,0,1.0,0,0,1,0,1,0,0.20043418175146605
3,1,1.0,0,0,3,0,1,1,0.5766545465894383
1,0,1.0,0,0,1,0,1,0,0.2681597400333885
3,1,1.0,3,1,1,4,0,0,0.2700057625289836
3,1,1.0,1,5,1,6,1,0,0.3054995386910176
3,0,0.0,0,0,2,0,0,0,0.16827730202084915
1,0,1.0,3,2,1,5,0,0,0.285223219174121
3,1,0.0,0,0,3,0,1,1,0.6000881534801629
3,0,0.0,0,0,1,0,0,0,0.15516732011792875
1,0,1.0,0,0,2,0,0,0,0.2991650205838682
1,1,0.0,1,0,2,1,1,1,0.8268588940881149
3,1,0.0,0,0,3,0,1,1,0.5639736509005422
2,0,1.0,0,0,1,0,0,0,0.20043418175146605
1,0,1.0,1,0,2,1,0,0,0.4037461578704886
1,0,1.0,1,0,1,1,0,0,0.3340979523930494
3,0,0.0,0,0,2,0,1,0,0.20065115611412687
3,0,1.0,0,0,1,0,0,0,0.19223078682631653
3,1,1.0,2,0,1,2,0,1,0.5630402015567327
3,1,1.0,1,0,2,1,1,1,0.6375567577566774
3,1,1.0,1,0,1,1,0,1,0.5673804640945346
2,1,1.0,1,0,1,1,0,1,0.7796010909290626
3,0,0.0,0,0,2,0,0,0,0.1931871791876896
2,1,1.0,1,2,2,3,1,1,0.7895193984151448
3,1,1.0,0,0,3,0,1,1,0.5532455820345423
3,0,0.0,0,0,1,0,0,0,0.16286595569887014
3,0,0.0,1,0,3,1,0,0,0.2987136386871088
3,1,0.0,0,0,3,0,1,1,0.5661511404885249
3,0,0.0,2,0,2,2,0,0,0.3110960048021694
3,1,1.0,1,0,1,1,0,0,0.4987327627388583
3,0,1.0,4,1,1,5,0,0,0.12498070970750057
